LahmanPlayerID,Year,UniNo,dummy,dummy,dummy,dummy
abeos01,1994,25,,,,
abeos01,1995,25,,,,
abeos01,1996,25,,,,
abeos01,1997,38,,,,
abeos01,1998,38,,,,
abeos01,1999,38,,,,
abesh01,2021,45,,,,
abesh01,2022,45,,,,
abesh01,2023,45,,,,
abesh01,2024,20,,,,
abesh01,2025,20,,,,
abesh03,1991,89,,,,
abesh03,1992,89,,,,
abesh03,1993,89,,,,
abesh03,1994,89,,,,
abesh03,1995,89,,,,
abesh03,1996,91,,,,
abesh03,1997,91,,,,
abesh03,1998,67,,,,
abesh03,1999,67,,,,
abesh03,2000,67,,,,
abesh03,2001,67,,,,
abesh04,2001,10,,,,
abesh04,2002,10,,,,
abesh04,2003,10,,,,
abesh04,2004,10,,,,
abesh04,2005,10,,,,
abesh04,2006,10,,,,
abesh04,2007,10,,,,
abesh04,2008,10,,,,
abesh04,2009,10,,,,
abesh04,2010,10,,,,
abesh04,2011,10,,,,
abesh04,2012,10,,,,
abesh04,2013,10,,,,
abesh04,2014,10,,,,
abesh04,2015,10,,,,
abesh04,2016,10,,,,
abesh04,2017,10,,,,
abesh04,2018,10,,,,
abesh04,2019,10,,,,
abeta01,2013,43,,,,
abeta01,2014,43,,,,
abeta01,2015,43,,,,
abeta01,2016,43,,,,
abeto01,2016,5,,,,
abeto01,2017,5,,,,
abeto01,2018,5,,,,
abeto01,2019,5,,,,
abeto01,2020,5,,,,
abeto01,2021,5,,,,
abeto01,2022,5,,,,
abeto01,2023,4,,,,
abeto01,2024,4,,,,
abeto01,2025,4,,,,
abeto02,2008,60,,,,
abeto02,2009,60,,,,
abeto02,2010,60,,,,
abeto02,2011,60,,,,
abeto02,2012,60,,,,
abeto02,2013,60,,,,
abeto02,2014,60,,,,
abeto02,2015,60,,,,
abeto02,2016,60,,,,
abeto02,2017,60,,,,
abeto02,2018,6,,,,
abeto02,2019,6,,,,
abeto02,2020,6,,,,
abeto02,2021,6,,,,
abeto02,2022,6,,,,
abeto03,2011,9,,,,
abeto03,2012,9,,,,
abeto03,2013,9,,,,
abeto03,2014,00,,,,
abeto03,2015,00,,,,
abeto03,2016,00,,,,
abeto03,2017,00,,,,
abeyo01,1969,35,,,,
abeyo01,1970,35,,,,
abeyo01,1971,35,,,,
abeyo01,1972,9,,,,
abeyo01,1973,9,,,,
abeyo01,1974,19,,,,
abeyu01,1961,54,,,,
abeyu01,1962,54,,,,
abeyu01,1963,54,,,,
abeyu01,1964,54,,,,
beenean01,1985,21,,,,
vothau01,2025,54,,,,
busenal01,2019,32,,,,
busenal01,2020,32,,,,
busenal01,2021,32,,,,
busenal01,2022,32,,,,
achirta01,2014,30,,,,
achirta01,2015,30,,,,
achirta01,2016,30,,,,
achirta01,2017,30,,,,
achirta01,2018,30,,,,
achirta01,2019,30,,,,
achirta01,2020,30,,,,
adachmi02,1959,16,,,,
adachmi02,1960,16,,,,
adachmi02,1961,16,,,,
adachmi02,1962,16,,,,
adachmi02,1963,16,,,,
adachmi02,1964,16,,,,
adachmi02,1965,16,,,,
adachmi02,1966,16,,,,
adachmi02,1967,16,,,,
adachmi02,1968,16,,,,
adachmi02,1969,16,,,,
adachmi02,1970,16,,,,
adachmi02,1971,16,,,,
adachmi02,1972,16,,,,
adachmi02,1973,16,,,,
adachmi02,1974,16,,,,
adachmi02,1975,16,,,,
adachmi02,1976,16,,,,
adachmi02,1977,16,,,,
adachmi02,1978,16,,,,
adachmi02,1979,16,,,,
adachmi02,1980,16,,,,
adachry02,2012,3,,,,
adachry02,2013,3,,,,
adachry02,2014,3,,,,
adachry02,2015,3,,,,
adachry02,2016,3,,,,
adachry02,2017,3,,,,
adachry02,2018,3,,,,
adachry02,2019,3,,,,
adachry02,2020,3,,,,
adachry02,2021,3,,,,
adachry02,2022,3,,,,
adachry02,2023,3,,,,
