yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1939,AL,HNT,HNT,Osaka Tigers,Hanshin Koshien Stadium,47508,0.94803,0.939394,1.021739,0.861022,HNT,HNT,HNT,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,
1939,AL,KNS,KNS,Nagoya Kinshachi,Korakuen Stadium,42337,1.010794,0.953846,1.104167,1.050964,KNS,KNS,KNS,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,models/korakuen_stadium
1939,AL,NKH,NKH,Osaka Hawks,Hanshin Koshien Stadium,47508,0.94803,0.939394,1.021739,0.861022,NKH,NKH,NKH,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,0.94803,0.939394,1.021739,0.861022,
1939,AL,TKS,TKS,Tokyo Senators,Korakuen Stadium,42337,1.010794,0.953846,1.104167,1.050964,TKS,TKS,TKS,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,models/korakuen_stadium
1939,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,1.010794,0.953846,1.104167,1.050964,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,1.010794,0.953846,1.104167,1.050964,models/korakuen_stadium
1940,AL,CHD,CHD,Nagoya Dragons,Korakuen Stadium,42337,0.980241,0.821782,1.102564,1.123314,CHD,CHD,CHD,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,models/korakuen_stadium
1940,AL,DTK,DTK,Tokyo Dai-Tokyo,Hanshin Koshien Stadium,47508,1.057785,1.054054,1.4375,1.216667,DTK,DTK,DTK,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,1.057785,1.054054,1.4375,1.216667,1.057785,1.054054,1.4375,1.216667,1.057785,1.054054,1.4375,1.216667,
1940,AL,EGL,EGL,Tokyo Eagles,Korakuen Stadium,42337,0.980241,0.821782,1.102564,1.123314,EGL,EGL,EGL,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,models/korakuen_stadium
1940,AL,HKB,HKB,Nishinomiya Braves,Hankyu Nishinomiya Stadium,35000,0.873596,0.898305,0.818182,0.911854,HKB,HKB,HKB,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.873596,0.898305,0.818182,0.911854,0.873596,0.898305,0.818182,0.911854,0.873596,0.898305,0.818182,0.911854,models/nishinomiya_stadium
1940,AL,HNT,HNT,Osaka Tigers,Hanshin Koshien Stadium,47508,1.057785,1.054054,1.4375,1.216667,HNT,HNT,HNT,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,1.057785,1.054054,1.4375,1.216667,1.057785,1.054054,1.4375,1.216667,1.057785,1.054054,1.4375,1.216667,
1940,AL,KNS,KNS,Nagoya Kinshachi,Korakuen Stadium,42337,0.980241,0.821782,1.102564,1.123314,KNS,KNS,KNS,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,models/korakuen_stadium
1940,AL,NKH,NKH,Osaka Hawks,Hankyu Nishinomiya Stadium,35000,0.873596,0.898305,0.818182,0.911854,NKH,NKH,NKH,35000,o,a,331,331,361,390,361,331,331,10,10,10,10,10,10,10,0.873596,0.898305,0.818182,0.911854,0.873596,0.898305,0.818182,0.911854,0.873596,0.898305,0.818182,0.911854,models/nishinomiya_stadium
1940,AL,TKS,TKS,Tokyo Senators,Korakuen Stadium,42337,0.980241,0.821782,1.102564,1.123314,TKS,TKS,TKS,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,models/korakuen_stadium
1940,AL,YMG,YMG,Tokyo Giants,Korakuen Stadium,42337,0.980241,0.821782,1.102564,1.123314,YMG,YMG,YMG,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,0.980241,0.821782,1.102564,1.123314,models/korakuen_stadium
1941,AL,ASH,ASH,Tokyo Asahi,Korakuen Stadium,42337,0.971963,1.046512,0.96,0.933602,ASH,ASH,ASH,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,models/korakuen_stadium
1941,AL,CHD,CHD,Nagoya Dragons,Korakuen Stadium,42337,0.971963,1.046512,0.96,0.933602,CHD,CHD,CHD,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,models/korakuen_stadium
1941,AL,EGL,EGL,Tokyo Eagles,Korakuen Stadium,42337,0.971963,1.046512,0.96,0.933602,EGL,EGL,EGL,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,models/korakuen_stadium
1941,AL,HKB,HKB,Nishinomiya Braves,Korakuen Stadium,42337,0.971963,1.046512,0.96,0.933602,HKB,HKB,HKB,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,models/korakuen_stadium
1941,AL,HNT,HNT,Osaka Tigers,Korakuen Stadium,42337,0.971963,1.046512,0.96,0.933602,HNT,HNT,HNT,42337,o,g,299,299,346,394,346,299,299,11,11,11,11,11,11,11,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,0.971963,1.046512,0.96,0.933602,models/korakuen_stadium
1941,AL,NKH,NKH,Osaka Hawks,Hanshin Koshien Stadium,47508,0.93985,0.833333,2.111111,0.855072,NKH,NKH,NKH,47508,o,g,312,312,387,387,387,312,312,9,9,9,9,9,9,9,0.93985,0.833333,2.111111,0.855072,0.93985,0.833333,2.111111,0.855072,0.93985,0.833333,2.111111,0.855072,
