yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,Ties,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,hist_team_id,ros_team_id,unique_id
1941,AL,NKH,NKH,,4,84,42,43,41,0,,,217,2805,546,83,7,12,369,245,55,0,14,0,214,159,1.82,44,14,0,2364,540,14,383,285,108,238,,Osaka Hawks,Hanshin Koshien Stadium,0,,,,,,,,
1941,AL,TYW,TYW,,3,87,43,47,37,3,,,204,2883,545,52,8,9,421,301,91,0,3,0,170,122,1.33,43,15,0,2483,554,20,295,295,121,248,,Yokohama Whales,Korakuen Stadium,0,,,,,,,,
1941,AL,YMG,YMG,,1,86,43,62,22,2,Y,,357,2937,730,97,32,23,470,247,88,0,14,0,193,156,1.75,58,24,0,2405,504,11,407,360,112,261,,Tokyo Giants,Korakuen Stadium,0,,,,,,,,
1942,AL,ASH,ASH,,4,105,50,49,50,6,,,246,3414,646,84,20,10,347,343,136,71,12,0,239,152,1.41,71,16,0,2905,642,7,422,298,151,254,,Tokyo Asahi,Hankyu Nishinomiya Stadium,74700,,,,,,,,
1942,AL,CHD,CHD,,7,105,52,39,60,6,,,275,3506,649,58,22,24,377,323,105,53,5,0,324,209,1.93,44,6,0,2920,740,25,447,248,194,400,,Nagoya Dragons,Korakuen Stadium,71100,,,,,,,,
1942,AL,EGL,EGL,,8,105,50,27,68,10,,,191,3382,611,58,18,10,415,311,122,50,5,0,322,240,2.29,70,10,0,2835,720,21,409,206,180,321,,Tokyo Eagles,Korakuen Stadium,52400,,,,,,,,
1942,AL,HKB,HKB,,5,105,55,49,50,6,,,264,3492,660,80,11,7,450,281,100,42,18,0,264,192,1.73,54,10,0,2999,725,8,388,292,161,356,,Nishinomiya Braves,Hanshin Koshien Stadium,162974,,,,,,,,
1942,AL,HNT,HNT,,3,105,57,52,48,5,,,293,3474,708,68,36,9,424,331,141,57,11,0,301,199,1.82,51,13,0,2951,754,9,450,303,193,253,,Osaka Tigers,Hanshin Koshien Stadium,197274,,,,,,,,
1942,AL,NKH,NKH,,6,105,50,49,56,0,,,267,3355,679,76,20,11,388,255,132,55,20,0,286,198,1.9,58,11,0,2817,677,9,435,363,185,289,,Osaka Hawks,Hanshin Koshien Stadium,92700,,,,,,,,
1942,AL,TYW,TYW,,2,105,51,60,39,6,,,238,3557,679,80,17,18,368,342,63,24,7,0,209,156,1.42,69,27,0,2972,611,17,285,415,156,234,,Yokohama Whales,Korakuen Stadium,121000,,,,,,,,
1942,AL,YMG,YMG,,1,105,55,73,27,5,Y,,399,3551,822,111,36,19,485,346,109,41,11,0,228,169,1.57,73,26,0,2911,585,12,418,407,149,268,,Tokyo Giants,Korakuen Stadium,138400,,,,,,,,
1943,AL,ASH,ASH,,3,84,42,41,36,7,,,232,2780,586,62,25,5,307,273,96,48,5,0,185,140,1.63,67,23,0,2315,517,4,297,297,105,197,,Tokyo Asahi,Hankyu Nishinomiya Stadium,179200,,,,,,,,
1943,AL,CHD,CHD,,2,84,43,48,29,7,,,217,2771,550,66,10,18,309,234,56,38,5,0,172,122,1.41,58,14,0,2338,475,13,325,222,123,274,,Nagoya Dragons,Korakuen Stadium,215600,,,,,,,,
1943,AL,EGL,EGL,,6,84,42,35,43,6,,,203,2713,487,69,17,9,359,295,96,31,4,0,263,207,2.42,51,6,0,2314,598,9,362,187,130,279,,Tokyo Eagles,Korakuen Stadium,213300,,,,,,,,
1943,AL,HKB,HKB,,7,84,41,31,51,2,,,175,2606,481,44,17,4,375,310,128,43,12,0,257,186,2.25,52,11,0,2228,578,12,320,204,124,208,,Nishinomiya Braves,Hankyu Nishinomiya Stadium,186300,,,,,,,,
1943,AL,HNT,HNT,,4,84,42,41,36,7,,,225,2675,539,69,19,12,391,262,82,59,7,0,221,154,1.8,54,12,0,2309,543,3,364,262,148,229,,Osaka Tigers,Hankyu Nishinomiya Stadium,204100,,,,,,,,
1943,AL,NKH,NKH,,8,84,42,26,56,2,,,178,2684,495,62,13,6,299,242,60,31,9,0,266,209,2.48,54,12,0,2275,550,6,473,312,99,252,,Osaka Hawks,Hankyu Nishinomiya Stadium,194300,,,,,,,,
1943,AL,NSL,NSL,,5,84,42,39,37,8,,,276,2804,554,70,24,7,405,273,48,21,7,0,236,188,2.21,58,12,0,2298,555,19,343,258,101,209,,Fukuoka Lions,Korakuen Stadium,188300,,,,,,,,
1943,AL,YMG,YMG,,1,84,42,54,27,3,Y,,263,2744,572,66,26,12,395,262,145,37,11,0,169,117,1.38,57,25,0,2290,448,7,356,409,125,168,,Tokyo Giants,Korakuen Stadium,234000,,,,,,,,
1944,AL,ASH,ASH,,5,35,15,12,22,1,,,115,1192,283,39,8,4,128,132,46,16,2,0,132,98,2.85,25,4,0,927,254,1,225,122,69,82,,Tokyo Asahi,Korakuen Stadium,40400,,,,,,,,
1944,AL,HKB,HKB,,3,35,16,19,15,1,,,137,1220,296,41,10,3,168,85,39,13,3,0,116,83,2.4,22,9,0,933,251,4,145,96,49,131,,Nishinomiya Braves,Hankyu Nishinomiya Stadium,43300,,,,,,,,
1944,AL,HNT,HNT,,1,35,18,27,6,2,Y,,165,1131,280,43,15,1,175,88,79,17,6,0,81,54,1.53,28,6,0,953,255,1,81,55,52,55,,Osaka Tigers,Hanshin Koshien Stadium,66500,,,,,,,,
1944,AL,KGR,KGR,,6,35,16,11,23,1,,,85,1150,231,28,2,3,129,98,29,10,1,0,126,72,2.09,30,5,0,930,266,2,163,133,66,100,,Osaka Great Ring,Hankyu Nishinomiya Stadium,38600,,,,,,,,
1944,AL,SNG,SNG,,4,35,20,13,21,1,,,81,1118,206,34,3,7,133,142,54,17,7,0,152,107,3.1,26,2,0,933,303,9,119,62,77,89,,Sangyo,Korakuen Stadium,26300,,,,,,,,
1944,AL,YMG,YMG,,2,35,20,19,14,2,,,128,1167,275,48,10,5,133,85,61,22,3,0,104,68,1.92,30,7,0,954,242,6,133,162,73,92,,Tokyo Giants,Korakuen Stadium,37600,,,,,,,,
1946,AL,CHD,CHD,,7,105,49,42,60,3,,,480,3579,888,159,51,46,500,363,132,65,18,0,586,457,4.41,48,2,0,2800,1004,42,475,243,185,318,,Nagoya Dragons,Korakuen Stadium,379827,,,,,,,,
