playerID,yearID,stint,teamID,lgID,G,G_started,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,Player XBT relative to League,ros_team_id,hist_id,hist_team_id,ros_player_id,New,Player XBT 1yr Relative to League,Player XBT 3yr Relative to League,Player XBT 5yr Relative to League
abesh03,1993,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,1994,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,1995,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,1996,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,1997,1,YMG,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,1998,1,YKS,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,1999,1,YKS,AL,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,2000,1,YKS,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abesh03,2001,1,YKS,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeta01,2013,1,DNB,AL,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeta01,2014,1,DNB,AL,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeta01,2015,1,DNB,AL,5,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,
abeta01,2016,1,DNB,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeto01,2016,1,CHD,AL,25,,49,2,9,1,0,1,4,1,1,2,10,0,0,1,1,2,,,,,,,,,,
abeto01,2017,1,CHD,AL,21,,41,3,11,1,0,0,2,1,0,4,13,0,0,1,0,0,,,,,,,,,,
abeto01,2018,1,CHD,AL,18,,23,1,5,3,0,0,4,0,0,3,3,0,0,0,0,1,,,,,,,,,,
abeto01,2019,1,CHD,AL,129,,447,51,130,24,3,7,59,1,0,31,82,3,1,3,2,9,,,,,,,,,,
abeto01,2020,1,CHD,AL,115,,421,44,108,25,0,13,61,2,4,30,92,0,1,5,2,21,,,,,,,,,,
abeto01,2021,1,CHD,AL,66,,215,18,45,10,0,5,16,0,1,19,36,0,0,4,2,8,,,,,,,,,,
abeto01,2022,1,CHD,AL,133,,486,44,131,31,2,9,57,3,1,49,105,0,4,3,6,14,,,,,,,,,,
abeto01,2023,1,RKE,NL,78,,216,16,55,17,1,4,24,0,0,27,47,1,2,6,2,12,,,,,,,,,,
abeto01,2024,1,RKE,NL,78,,229,19,52,13,2,9,32,0,2,20,54,0,1,4,0,3,,,,,,,,,,
abeto01,2025,1,RKE,NL,43,,105,11,23,5,1,3,8,1,1,22,31,0,0,1,1,1,,,,,,,,,,
abeto02,2008,1,HRC,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
abeto02,2009,1,HRC,AL,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
